Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
999999	136160	668304	27940	Greek	ἐστιν	ἐστιν	estin	V-PIA-3S	Verb - Present Indicative Active - 3rd Person Singular		1510							 is 				
999999	136159	668305	27940	Greek	μού	μού	mou	PPro-G1S	Personal / Possessive Pronoun - Genitive 1st Person Singular		1473							 my 				
999999	136157	668306	27940	Greek	μάρτυς	μάρτυς	martys	N-NMS	Noun - Nominative Masculine Singular		3144							 witness 				
999999	136175	668307	27940	Greek	ὡς	ὡς	hōs	Adv	Adverb		5613							 how 				
999999	136176	668308	27940	Greek	ἀδιαλείπτως	ἀδιαλείπτως	adialeiptōs	Adv	Adverb		89							 constantly 				
999999	136179	668309	27940	Greek	ποιοῦμαι	ποιοῦμαι	poioumai	V-PIM-1S	Verb - Present Indicative Middle - 1st Person Singular		4160							 vvv 				
999999	136177	668310	27940	Greek	μνείαν	μνείαν	mneian	N-AFS	Noun - Accusative Feminine Singular		3417							 I remember 				
999999	136178	668311	27940	Greek	ὑμῶν	ὑμῶν	hymōn	PPro-G2P	Personal / Possessive Pronoun - Genitive 2nd Person Plural		4771							 you 				
999999	136180	668312	27940	Greek																		
999999	136181	668313	27940	Greek																		
999999	136182	668314	27940	Greek																		
999999	136183	668315	27940	Greek																		
999999	136184	668316	27940	Greek																		
999999	136185	668317	27940	Greek																		
999999	136186	668318	27940	Greek																		
999999	136187	668319	27940	Greek																		
999999	136188	668320	27940	Greek																		
999999	136189	668321	27940	Greek																		
999999	136192	668322	27941	Greek	ἐπὶ	ἐπὶ	epi	Prep	Preposition		1909	Romans 1:10						 in 				
999999	136195	668323	27941	Greek	μου	μου	mou	PPro-G1S	Personal / Possessive Pronoun - Genitive 1st Person Singular		1473							 my 				
999999	136193	668324	27941	Greek	τῶν	τῶν	tōn	Art-GFP	Article - Genitive Feminine Plural		3588							 - 				
999999	136194	668325	27941	Greek	προσευχῶν	προσευχῶν	proseuchōn	N-GFP	Noun - Genitive Feminine Plural		4335							 prayers 				
999999	136191	668326	27941	Greek	πάντοτε	πάντοτε	pantote	Adv	Adverb		3842							 at all times 	,			
999999	136196	668327	27941	Greek	δεόμενος	δεόμενος	deomenos	V-PPM/P-NMS	Verb - Present Participle Middle or Passive - Nominative Masculine Singular		1189							 asking 				
999999	136197	668328	27941	Greek	εἴ	εἴ	ei	Conj	Conjunction		1487							 that 				
999999	136198	668329	27941	Greek	πως	πως	pōs	Adv	Adverb		4459							 . . . 				
999999	136199	668330	27941	Greek	ἤδη	ἤδη	ēdē	Adv	Adverb		2235							 now 				
999999	136200	668331	27941	Greek	ποτὲ	ποτὲ	pote	Adv	Adverb		4218							 at last 				
999999	136202	668332	27941	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 by 				
999999	136203	668333	27941	Greek	τῷ	τῷ	tō	Art-DNS	Article - Dative Neuter Singular		3588							 - 				
999999	136205	668334	27941	Greek	τοῦ	τοῦ	tou	Art-GMS	Article - Genitive Masculine Singular		3588							 - 				
999999	136206	668335	27941	Greek	Θεοῦ	Θεοῦ	Theou	N-GMS	Noun - Genitive Masculine Singular		2316							 God’s 				
999999	136204	668336	27941	Greek	θελήματι	θελήματι	thelēmati	N-DNS	Noun - Dative Neuter Singular		2307							 will 				
999999	136201	668337	27941	Greek	εὐοδωθήσομαι	εὐοδωθήσομαι	euodōthēsomai	V-FIP-1S	Verb - Future Indicative Passive - 1st Person Singular		2137							 I may succeed 				
999999	136207	668338	27941	Greek	ἐλθεῖν	ἐλθεῖν	elthein	V-ANA	Verb - Aorist Infinitive Active		2064							 in coming 				
999999	136208	668339	27941	Greek	πρὸς	πρὸς	pros	Prep	Preposition		4314							 to 				
999999	136209	668340	27941	Greek	ὑμᾶς	ὑμᾶς	hymas	PPro-A2P	Personal / Possessive Pronoun - Accusative 2nd Person Plural		4771							 you 	.			
999999	136210	668341	27941	Greek																		
999999	136211	668342	27941	Greek																		
999999	136212	668343	27941	Greek																		
999999	136213	668344	27941	Greek																		
999999	136214	668345	27941	Greek																		
999999	136215	668346	27941	Greek																		
999999	136216	668347	27941	Greek																		
999999	136217	668348	27941	Greek																		
999999	136218	668349	27941	Greek																		
999999	136219	668350	27941	Greek																		
999999	136222	668351	27942	Greek	γὰρ	γὰρ	gar	Conj	Conjunction		1063	Romans 1:11						 For 				
999999	136221	668352	27942	Greek	ἐπιποθῶ	ἐπιποθῶ	epipothō	V-PIA-1S	Verb - Present Indicative Active - 1st Person Singular		1971							 I long 				
999999	136223	668353	27942	Greek	ἰδεῖν	ἰδεῖν	idein	V-ANA	Verb - Aorist Infinitive Active		3708							 to see 				
999999	136224	668354	27942	Greek	ὑμᾶς	ὑμᾶς	hymas	PPro-A2P	Personal / Possessive Pronoun - Accusative 2nd Person Plural		4771							 you 				
999999	136225	668355	27942	Greek	ἵνα	ἵνα	hina	Conj	Conjunction		2443							 so that 				
999999	136227	668356	27942	Greek	μεταδῶ	μεταδῶ	metadō	V-ASA-1S	Verb - Aorist Subjunctive Active - 1st Person Singular		3330							 I may impart 				
999999	136229	668357	27942	Greek	ὑμῖν	ὑμῖν	hymin	PPro-D2P	Personal / Possessive Pronoun - Dative 2nd Person Plural		4771							 to you 				
999999	136226	668358	27942	Greek	τι	τι	ti	IPro-ANS	Interrogative / Indefinite Pronoun - Accusative Neuter Singular		5100							 some 				
999999	136230	668359	27942	Greek	πνευματικὸν	πνευματικὸν	pneumatikon	Adj-ANS	Adjective - Accusative Neuter Singular		4152							 spiritual 				
